"","poradi","ID","datum","cas_sec","misto_vyzkumu","obor","zakl_vyzkum","reproduk","rep_Ne","rep_Mainstream","rep_Casopisy","rep_Diskuse","rep_Vlastni","krize_rep","krize_fyz","krize_bio","krize_med","krize_soc","krize_nevim","rep_podil","nerep_problem","nerep_chyba","nerep_valid","nerep_neobj","nerep_veda","nerep_narust","reg_Evropa","reg_Sev.Amerika","reg_Asie","reg_vsude.stejne","reg_nevim","nerep_zeme","despekt","desp_zeme","desp_jazyk","desp_kvalita","desp_nevim","desp_vlastni","reakce_nectu","reakce_vyberu","reakce_obezret","reakce_nic","reakce_stejne","reakce_nevim","reakce_vlastni","fakt_podvod","fakt_karier","fakt_dohled","fakt_recenz","fakt_selekc","fakt_replik","fakt_statis","fakt_odborn","fakt_data","fakt_dokume","fakt_metody","fakt_variab","fakt_design","fakt_smula","fakt_dalsi","nerep_jaMuj","nerep_jaCizi","nerep_oniMuj","rep_komentar","objekt_vnejsi.pohled","objekt_presnost","objekt_matematicka.konzistence","objekt_testovatelnost","objekt_nestrannost","objekt_priblizeni.pravde","objekt_shoda.s.realitou","objekt_kvantifikace","objekt_intersubjektivita","objekt_kriticke.mysleni","objekt_reprodukovatelnost","objekt_diskut","frek_nerepre","frek_hacking","frek_positiv","frek_popular","frek_modmet","frek_oversell","frek_zbytecne","frek_salam","neobj_nerepre","neobj_hacking","neobj_positiv","neobj_popular","neobj_modmet","neobj_oversell","neobj_zbytecne","neobj_salam","financ_vliv","financ_zajisti.objektivitu","financ_neduvera","financ_zajisti.nezavislost","financ_casvliv","financ_casvlast","pomer_administr","diskrim_muzi","diskrim_starsi","diskrim_uspesni","diskrim_autority","diskrim_zavedene","objekt_komentar","dilema_predator","dilema_neinformoval","dilema_misogyn","dilema_kvoty","dilema_cinska.medicina","dilema_embryo","dilema_komentar","gender","vek","kar_praxe","kar_titul","kar_citace","kar_nejlepsi","kar_kategorie","kar_komentar","pomer_veda","pomer_zakladni","obor_dotovany","obor_konkuren","obor_tlak","obor_rychly","obor_priliv","obor_publikac","obor_medializ","obor_verejnos","obor_komplexn","obor_mensi","cinnost_matem","cinnost_model","cinnost_teori","cinnost_exper","cinnost_kateg","cinnost_vyvoj","obor_ekzaktnost","obor_komentar","spec_hlavni","spec_astr","spec_astrvl","spec_bio","spec_biovl","spec_chem","spec_chemvl","spec_ekol","spec_ekolvl","spec_inze","spec_inzevl","spec_matr","spec_matrvl","spec_medi","spec_medivl","spec_fyzi","spec_fyzivl","spec_matm","spec_metmvl","spec_vlastni","instituce"
"282",283,5793563,2019-04-12,1307,"V Akademii věd ČR","Sekce chemických věd","Ano",NA,NA,NA,NA,NA,"V biologii","Nevím",NA,"Biologických","Lékařských","Sociálních",NA,"90 %","Spíše nesouhlasím","Ani souhlasím/ani nesouhlasím","Rozhodně nesouhlasím","Ani souhlasím/ani nesouhlasím","Ani souhlasím/ani nesouhlasím","Spíše souhlasím",NA,NA,"Asie",NA,NA,"Indie, čína","Nikdy",NA,NA,NA,NA,NA,NA,"Vybírám si jen taková pracoviště, o nichž jsem přesvědčen, že dělají kvalitní vědu",NA,NA,NA,NA,NA,"Velmi často","Velmi často","Vždy","Někdy","Velmi často","Velmi často","Nevím","Někdy","Zřídka","Někdy","Někdy","Někdy","Velmi často","Vždy",NA,"Ano","Ano","Ne",NA,NA,NA,NA,NA,NA,NA,"Shoda s realitou",NA,NA,NA,"Reprodukovatelnost","Někdy","80%","Nevím","50%","40%","50%","50%","80%","80%","Ano","Ano","Ano","Ano","Ano","Ano","Ano","Ano","Velmi často","Nevím","Ne, obojí je stejně důvěryhodné","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"50%",0,0,0,-1,0,NA,"ne","ne","ne","ano","ne","ne",NA,"Muž","55–64","20 a více let","Docent","Do 5000","Ano","Vědecký pracovník do třídy V5",NA,NA,"90%","Spíše ne","Spíše ano","Rozhodně ano","Spíše ano","Spíše ne","Spíše ano","Spíše ne","Spíše ne","Spíše ano","Rozhodně ano",NA,"2. místo","3. místo","1. místo",NA,NA,"„Tvrdší“ (exaktnější)",NA,"Chemistry",NA,NA,NA,NA,"Physical Chemistry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AV"
"283",284,5793577,2019-04-12,1758,"V Akademii věd ČR","Sekce chemických věd","Ano",NA,NA,NA,NA,"Ano, v diskuzích na konferencích","na pracovišti","Ano, významná krize","Fyzikálních/chemických",NA,NA,NA,"Nevím","70 %","Spíše souhlasím","Spíše souhlasím","Rozhodně nesouhlasím","Rozhodně souhlasím","Rozhodně souhlasím","Spíše souhlasím",NA,NA,"Asie",NA,"Nedokážu posoudit",NA,"Zřídka",NA,NA,NA,"Nedokážu posoudit",NA,NA,NA,"Čtu dál studie z tohoto regionu, ale jsem obezřetný ohledně jejich závěrů",NA,NA,NA,NA,"Někdy","Někdy","Nevím","Někdy","Velmi často","Někdy","Velmi často","Někdy","Někdy","Někdy","Zřídka","Někdy","Někdy","Zřídka","room temperature :-)","Ano","Ano","Ne","Nereprodukovatelnost vlasních experimentů se doposud vždy vysvětlila nějakým technickým faktorem - kvalita činidel, selhání přístroje, chyba v manipulaci... po jejich odstaranění byl experiment úspěšně zopakován.",NA,NA,NA,NA,NA,NA,"Shoda s realitou",NA,NA,NA,NA,"Zřídka","30%","Nevím","90%","80%","10%","Nevím","40%","70%","Ano","Nevím","Ano","Ne","Nevím","Ano","Ne","Ne","Velmi často","Státní nebo nadnárodní (státní nebo evropské instituce, grantové agentury apod.)","Nevím","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"30%",-1,1,0,0,-1,NA,"ne","ano","ano","ne","ano","ne",NA,"Žena","35–44","20 a více let","CSc./Ph.D.","Do 100","Ne","Vědecký asistent do třídy V4",NA,NA,"90%","Spíše ano","Rozhodně ano","Rozhodně ano","Rozhodně ano","Spíše ne","Spíše ano","Spíše ne","Spíše ne","Spíše ano","Rozhodně ne","Tuto činnost nedělám","3. místo","Tuto činnost nedělám","2. místo","Tuto činnost nedělám","1. místo","„Tvrdší“ (exaktnější)",NA,"Chemistry",NA,NA,NA,NA,"Organic Chemistry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AV"
"284",285,5793578,2019-04-12,864,"V Akademii věd ČR","Sekce biologicko-ekologických věd","Ano",NA,NA,NA,"Ano, ve vědeckých časopisech",NA,NA,"Ano, významná krize",NA,"Biologických","Lékařských","Sociálních",NA,"100 %","Rozhodně nesouhlasím","Ani souhlasím/ani nesouhlasím","Rozhodně nesouhlasím","Rozhodně souhlasím","Rozhodně nesouhlasím","Rozhodně souhlasím",NA,NA,NA,NA,"Nedokážu posoudit",NA,"Nikdy",NA,NA,NA,NA,NA,NA,"Vybírám si jen taková pracoviště, o nichž jsem přesvědčen, že dělají kvalitní vědu",NA,NA,NA,NA,NA,"Vždy","Velmi často","Velmi často","Velmi často","Velmi často","Velmi často","Někdy","Velmi často","Velmi často","Velmi často","Nevím","Velmi často","Velmi často","Velmi často",NA,"Nedělám experimenty","Nedělám experimenty","Nedělám experimenty",NA,NA,NA,"Matematická konzistence",NA,NA,NA,NA,NA,NA,NA,NA,"Zřídka","90%","90%","Nevím","90%","90%","90%","80%","80%","Ano","Ano","Nevím","Ano","Ano","Ano","Ano","Ano","Velmi často","Nehraje roli","Nevím","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"30%",0,1,-1,1,0,NA,"ne","ano","ne","ano","ano","ne",NA,"Muž","55–64","20 a více let","Profesor","Do 5000","Ano","Vedoucí vědecký pracovník do třídy V6",NA,NA,"100%","Rozhodně ne","Spíše ano","Spíše ano","Rozhodně ne","Rozhodně ne","Spíše ano","Rozhodně ne","Spíše ne","Spíše ano","Nevím","1. místo","1. místo","1. místo","Tuto činnost nedělám","Tuto činnost nedělám","2. místo","„Tvrdší“ (exaktnější)",NA,"Mathematics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Applied Mathematics",NA,NA,"AV"
"285",286,5793581,2019-04-12,1270,"V Akademii věd ČR","Sekce biologicko-ekologických věd","Ano",NA,"Ne",NA,NA,NA,NA,"Nevím",NA,NA,NA,NA,NA,"90 %","Spíše nesouhlasím","Ani souhlasím/ani nesouhlasím","Spíše nesouhlasím","Rozhodně souhlasím","Ani souhlasím/ani nesouhlasím","Spíše nesouhlasím",NA,NA,"Asie",NA,NA,NA,"Zřídka",NA,NA,NA,NA,NA,NA,NA,"Čtu dál studie z tohoto regionu, ale jsem obezřetný ohledně jejich závěrů",NA,NA,NA,NA,"Nevím","Nevím","Nevím","Někdy","Nevím","Nevím","Nevím","Nevím","Nevím","Nevím","Nevím","Nevím","Nevím","Nevím",NA,"Ano","Ano","Ne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reprodukovatelnost","Nikdy","20%","50%","90%","10%","10%","Nikdy 0%","20%","50%","Ano","Nevím","Ano","Ne","Ne","Ano","Nevím","Ne","Někdy","Státní nebo nadnárodní (státní nebo evropské instituce, grantové agentury apod.)","Ne, obojí je stejně důvěryhodné","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"20%",0,-1,-1,-1,-1,"31. Při anonymním posuzování jde jen o posouzení předchozích výsledků, kterých objektivně mají více starší, úspěšní... Ale nedá se říct, že jsou dotyční zvýhodňováni.","ano","ne","ne","ne","ano","ne","37. Je předloženo málo informací pro rozhodování. Kdych měl více informací, budu hlasovat ANO","Muž","55–64","20 a více let","Profesor","Do 1000","Ne","Vedoucí vědecký pracovník do třídy V6",NA,NA,"90%","Spíše ne","Spíše ne","Rozhodně ano","Spíše ano","Spíše ne","Spíše ano","Spíše ne","Spíše ne","Spíše ano","Spíše ano","Tuto činnost nedělám","Tuto činnost nedělám",NA,"1. místo","2. místo","3. místo","„Tvrdší“ (exaktnější)",NA,"Biology",NA,NA,"Plant Science",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AV"
"286",287,5793589,2019-04-12,1299,"V jiných výzkumných organizacích než výše uvedených (zřizovaných ministerstvy apod.)","Sekce biologicko-ekologických věd","Ne",NA,NA,NA,NA,"Ano, v diskuzích na konferencích",NA,"Nevím",NA,NA,NA,NA,"Nevím","50 %","Ani souhlasím/ani nesouhlasím","Spíše nesouhlasím","Ani souhlasím/ani nesouhlasím","Spíše nesouhlasím","Rozhodně souhlasím","Spíše souhlasím",NA,NA,NA,NA,"Nedokážu posoudit",NA,"Nikdy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nevím",NA,"Někdy","Velmi často","Velmi často","Velmi často","Velmi často","Někdy","Velmi často","Velmi často","Někdy","Někdy","Někdy","Zřídka","Někdy","Někdy",NA,"Ano","Ano","Ne",NA,NA,"Přesnost",NA,NA,"Nestrannost",NA,NA,NA,NA,"Kritické myšlení",NA,"Zřídka","80%","Nevím","90%","90%","90%","80%","90%","90%","Ano","Nevím","Ano","Ano","Ano","Ano","Ano","Ano","Vždy","Nehraje roli","Ne, obojí je stejně důvěryhodné","Nehraje roli","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"70%",0,1,-1,0,0,NA,"ne","ne","ne","ano","ano","ano",NA,"Žena","35–44","10–19 let","CSc./Ph.D.","Do 500","Ne","Postdoktorand do třídy V3",NA,NA,"90%","Spíše ne","Rozhodně ano","Rozhodně ano","Spíše ano","Spíše ano","Spíše ano","Spíše ano","Spíše ne","Spíše ne","Spíše ne","Tuto činnost nedělám","Tuto činnost nedělám","2. místo","1. místo","2. místo","2. místo","„Tvrdší“ (exaktnější)",NA,"Biology",NA,NA,"Molecular Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AV"
"287",288,5793591,2019-04-12,1504,"V Akademii věd ČR","Sekce matematiky, fyziky a informatiky","Ano",NA,NA,NA,"Ano, ve vědeckých časopisech",NA,NA,"Ano, nevýznamná krize",NA,"Biologických",NA,NA,NA,"100 %","Spíše nesouhlasím","Ani souhlasím/ani nesouhlasím","Spíše souhlasím","Ani souhlasím/ani nesouhlasím","Rozhodně souhlasím","Spíše nesouhlasím",NA,NA,NA,NA,"Nedokážu posoudit",NA,"Zřídka",NA,NA,NA,NA,NA,NA,"Vybírám si jen taková pracoviště, o nichž jsem přesvědčen, že dělají kvalitní vědu",NA,NA,NA,NA,NA,"Někdy","Velmi často","Někdy","Velmi často","Někdy","Velmi často","Někdy","Velmi často","Někdy","Někdy","Velmi často","Někdy","Někdy","Někdy",NA,"Nedělám experimenty","Nedělám experimenty","Nedělám experimenty",NA,"Pohled z vnějšku",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zřídka","40%","Nevím","30%","30%","50%","70%","90%","40%","Ano","Ano","Ano","Ano","Ano","Ano","Ano","Ano","Velmi často","Nehraje roli","Ne, obojí je stejně důvěryhodné","Nehraje roli","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"30%",-1,1,-1,0,0,NA,"ne","ne","ano","ne","ano","ne",NA,"Žena","55–64","20 a více let","CSc./Ph.D.","Do 100","Ne","Vědecký pracovník do třídy V5",NA,NA,"100%","Rozhodně ne","Rozhodně ano","Spíše ano","Rozhodně ne","Spíše ano","Spíše ano","Spíše ano","Nevím","Rozhodně ano","Rozhodně ano","2. místo","1. místo","1. místo","Tuto činnost nedělám","Tuto činnost nedělám","Tuto činnost nedělám","„Měkčí“ (méně exaktní)",NA,"Physics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Condensed-matter Physics",NA,NA,NA,NA,"AV"
"288",289,5793604,2019-04-12,1147,"V Akademii věd ČR","Sekce biologicko-ekologických věd","Ano",NA,"Ne",NA,NA,NA,NA,"Nevím",NA,NA,NA,NA,"Nevím","80 %","Ani souhlasím/ani nesouhlasím","Spíše nesouhlasím","Spíše nesouhlasím","Spíše souhlasím","Spíše souhlasím","Ani souhlasím/ani nesouhlasím",NA,NA,"Asie",NA,NA,NA,"Nikdy",NA,NA,NA,NA,NA,NA,NA,"Čtu dál studie z tohoto regionu, ale jsem obezřetný ohledně jejich závěrů",NA,NA,NA,NA,"Velmi často","Vždy","Někdy","Někdy","Velmi často","Někdy","Někdy","Velmi často","Velmi často","Velmi často","Někdy","Velmi často","Velmi často","Zřídka",NA,"Ne","Ano","Ne",NA,NA,NA,NA,"Testovatelnost",NA,NA,NA,"Kvantifikace",NA,NA,"Reprodukovatelnost","Zřídka","70%","50%","80%","50%","70%","70%","80%","40%","Ano","Ano","Ano","Nevím","Ano","Ne","Ano","Ne","Velmi často","Státní nebo nadnárodní (státní nebo evropské instituce, grantové agentury apod.)","Ne, obojí je stejně důvěryhodné","Nevím","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"10%",0,-1,-1,-1,-1,NA,"ne","ne","ne","ne","ano","ano",NA,"Muž","35–44","10–19 let","CSc./Ph.D.","Do 100","Ne","Odborný pracovník výzkumu a vývoje do třídy V1",NA,NA,"20%","Spíše ne","Spíše ano","Spíše ano","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Nevím","Rozhodně ano","Rozhodně ne",NA,NA,"1. místo","2. místo",NA,"3. místo","Nedokážu posoudit",NA,"Earth and Environmental Science",NA,NA,NA,NA,NA,NA,"Environmental Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AV"
"289",290,5793616,2019-04-12,1316,"V Akademii věd ČR","Sekce biologicko-ekologických věd","Ano",NA,NA,NA,NA,"Ano, v diskuzích na konferencích",NA,"Nevím",NA,NA,NA,NA,"Nevím","70 %","Ani souhlasím/ani nesouhlasím","Spíše nesouhlasím","Ani souhlasím/ani nesouhlasím","Ani souhlasím/ani nesouhlasím","Nevím","Ani souhlasím/ani nesouhlasím",NA,NA,NA,NA,"Nedokážu posoudit",NA,"Zřídka",NA,NA,NA,"Nedokážu posoudit",NA,NA,NA,"Čtu dál studie z tohoto regionu, ale jsem obezřetný ohledně jejich závěrů",NA,NA,NA,NA,"Někdy","Někdy","Někdy","Někdy","Velmi často","Velmi často","Někdy","Někdy","Velmi často","Velmi často","Někdy","Někdy","Někdy","Někdy",NA,"Ne","Ne","Nepamatuji se",NA,NA,NA,NA,NA,"Nestrannost","Přiblížení k pravdě","Shoda s realitou",NA,NA,NA,NA,"Zřídka","80%","80%","80%","70%","60%","80%","70%","70%","Ano","Ano","Ano","Ano","Ne","Ano","Ne","Ne","Velmi často","Státní nebo nadnárodní (státní nebo evropské instituce, grantové agentury apod.)","Financovaných ze soukromých zdrojů","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"30%",-1,-1,1,-1,-1,NA,"ano","ne","ne","ne","ano","ne",NA,"Muž","35–44","5–9 let","CSc./Ph.D.","Do 1000","Ano","Vědecký pracovník do třídy V5",NA,NA,"100%","Spíše ne","Spíše ano","Spíše ano","Spíše ne","Spíše ano","Rozhodně ano","Spíše ne","Spíše ne","Spíše ano","Spíše ano","Tuto činnost nedělám","Tuto činnost nedělám","2. místo","1. místo","2. místo","2. místo","„Měkčí“ (méně exaktní)",NA,"Biology",NA,NA,"Ecology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AV"
"290",291,5793620,2019-04-12,1720,"V Akademii věd ČR","Sekce biologických a lékařských věd","Ano",NA,NA,NA,"Ano, ve vědeckých časopisech","Ano, v diskuzích na konferencích","na pracovisku","Ano, nevýznamná krize",NA,"Biologických","Lékařských","Sociálních",NA,"60 %","Spíše nesouhlasím","Rozhodně nesouhlasím","Spíše souhlasím","Spíše nesouhlasím","Spíše souhlasím","Nevím",NA,NA,"Asie",NA,NA,"Cina","Zřídka","Britanie a USA",NA,"Týkalo se to kvality vědecké práce",NA,NA,NA,"Vybírám si jen taková pracoviště, o nichž jsem přesvědčen, že dělají kvalitní vědu","Čtu dál studie z tohoto regionu, ale jsem obezřetný ohledně jejich závěrů","Nijak, protože i studie z tohoto regionu mohou obsahovat cenné výsledky",NA,NA,NA,"Někdy","Vždy","Velmi často","Někdy","Velmi často","Velmi často","Někdy","Někdy","Zřídka","Někdy","Velmi často","Velmi často","Velmi často","Vždy",NA,"Ano","Ano","Ano",NA,NA,NA,NA,"Testovatelnost",NA,NA,NA,NA,"Intersubjektivita (možnost sdílet vědecké výsledky s ostatními)","Kritické myšlení",NA,"Velmi často","60%","70%","Vždy 100%","Vždy 100%","Vždy 100%","Vždy 100%","Vždy 100%","60%","Ano","Ano","Ano","Ano","Ano","Ano","Ano","Ano","Velmi často","Nehraje roli","Financovaných z veřejných zdrojů","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"80%",0,-1,-1,-1,-1,NA,"ne","ne","ne","ne","ano","ano","Myslim si, ze na ""objektivnejsi/spravnejsi"" rozhodnutio bych potreboval vice informaci, ale chapu, ze se to v tomhle formatu moc neda.","Muž","25–34","10–19 let","CSc./Ph.D.","Do 100","Ne","Postdoktorand do třídy V3",NA,NA,"80%","Rozhodně ne","Rozhodně ano","Spíše ano","Spíše ne","Spíše ano","Spíše ano","Rozhodně ne","Spíše ne","Spíše ano","Rozhodně ne","Tuto činnost nedělám","3. místo","1. místo","2. místo","2. místo","3. místo","„Tvrdší“ (exaktnější)",NA,"Biology",NA,NA,"Structural Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AV"
"291",292,5793621,2019-04-12,1024,"V Akademii věd ČR","Sekce aplikované fyziky","Ano",NA,NA,NA,NA,"Ano, v diskuzích na konferencích",NA,"Ano, nevýznamná krize","Fyzikálních/chemických","Biologických","Lékařských",NA,NA,"50 %","Spíše nesouhlasím","Spíše nesouhlasím","Rozhodně nesouhlasím","Rozhodně nesouhlasím","Spíše souhlasím","Rozhodně souhlasím",NA,NA,NA,NA,"Nedokážu posoudit",NA,"Velmi často","USA","Byla to jazyková záležitost, protože nejsem rodilý mluvčí",NA,NA,NA,NA,"Vybírám si jen taková pracoviště, o nichž jsem přesvědčen, že dělají kvalitní vědu",NA,NA,NA,NA,NA,"Zřídka","Vždy","Někdy","Velmi často","Vždy","Velmi často","Velmi často","Velmi často","Někdy","Zřídka","Velmi často","Velmi často","Někdy","Nevím",NA,"Ano","Ano","Ne",NA,NA,"Přesnost",NA,NA,NA,NA,NA,"Kvantifikace",NA,NA,"Reprodukovatelnost","Někdy","80%","Nevím","Vždy 100%","90%","80%","70%","30%","70%","Ano","Nevím","Ano","Ano","Ano","Ano","Ano","Ano","Vždy","Nehraje roli","Financovaných ze soukromých zdrojů","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"40%",-1,-1,-1,-1,-1,NA,"ne","ano","ne","ne","ano","ano",NA,"Žena","35–44","10–19 let","CSc./Ph.D.","Do 500","Ne","Odborný pracovník výzkumu a vývoje do třídy V1",NA,NA,"40%","Spíše ne","Rozhodně ano","Spíše ano","Rozhodně ano","Rozhodně ano","Spíše ano","Spíše ano","Spíše ne","Spíše ano","Spíše ne","Tuto činnost nedělám","Tuto činnost nedělám","3. místo","1. místo","2. místo","2. místo","„Tvrdší“ (exaktnější)",NA,"Chemistry",NA,NA,NA,NA,"Inorganic Chemistry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AV"
"292",293,5793623,2019-04-12,1268,"V Akademii věd ČR","Sekce biologicko-ekologických věd","Ano",NA,"Ne",NA,NA,NA,NA,"Nevím",NA,NA,NA,NA,"Nevím","90 %","Rozhodně nesouhlasím","Spíše souhlasím","Spíše nesouhlasím","Spíše souhlasím","Spíše souhlasím","Rozhodně nesouhlasím",NA,NA,"Asie",NA,NA,"Čína","Nikdy",NA,NA,NA,"Nedokážu posoudit",NA,NA,NA,"Čtu dál studie z tohoto regionu, ale jsem obezřetný ohledně jejich závěrů",NA,NA,NA,NA,"Zřídka","Velmi často","Nevím","Zřídka","Velmi často","Někdy","Někdy","Někdy","Nevím","Nevím","Zřídka","Zřídka","Někdy","Zřídka",NA,"Nedělám experimenty","Nedělám experimenty","Nedělám experimenty",NA,NA,NA,NA,"Testovatelnost","Nestrannost",NA,NA,NA,NA,"Kritické myšlení",NA,"Zřídka","80%","Nevím","80%","Vždy 100%","70%","90%","50%","90%","Ano","Nevím","Ano","Ne","Ne","Ano","Ne","Ne","Vždy","Nevím","Ne, obojí je stejně důvěryhodné","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"10%",0,0,-1,0,-1,NA,"ano","ne","ne","ne","ano","ne",NA,"Muž","35–44","5–9 let","CSc./Ph.D.","Do 100","Ne","Vědecký asistent do třídy V4",NA,NA,"100%","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Rozhodně ano","3. místo","2. místo","3. místo","Tuto činnost nedělám","1. místo","Tuto činnost nedělám","„Měkčí“ (méně exaktní)",NA,"Biology",NA,NA,"Zoology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AV"
"293",294,5793626,2019-04-12,1164,"Na univerzitách v ČR","Sekce biologicko-ekologických věd","Ano",NA,"Ne",NA,NA,NA,NA,"Ne, žádná krize není",NA,NA,NA,NA,NA,"90 %","Spíše nesouhlasím","Nevím","Spíše nesouhlasím","Rozhodně nesouhlasím","Spíše nesouhlasím","Spíše nesouhlasím",NA,NA,NA,NA,"Nedokážu posoudit",NA,"Zřídka","Švýcarsko, UK","Byla to jazyková záležitost, protože nejsem rodilý mluvčí",NA,NA,"předsudky proti východní Evropě",NA,NA,NA,"Nijak, protože i studie z tohoto regionu mohou obsahovat cenné výsledky",NA,NA,NA,"Nevím","Nevím","Nevím","Nevím","Někdy","Nevím","Nevím","Nevím","Nevím","Nevím","Někdy","Nevím","Nevím","Nevím",NA,"Nedělám experimenty","Nedělám experimenty","Nedělám experimenty",NA,NA,NA,NA,NA,"Nestrannost","Přiblížení k pravdě",NA,NA,NA,"Kritické myšlení",NA,"Nikdy","60%","20%","90%","70%","30%","50%","20%","10%","Ano","Ne","Ano","Ano","Ne","Ano","Ne","Ne","Někdy","Státní nebo nadnárodní (státní nebo evropské instituce, grantové agentury apod.)","Financovaných ze soukromých zdrojů","Dlouhodobé","Ano, vede k preferenci jednodušeji zodpověditelných výzkumných otázek (na úkor hlubších)",NA,"30%",-1,-1,-1,-1,0,NA,"ne","ano","ne","ne","ne","ano",NA,"Muž","35–44","10–19 let","CSc./Ph.D.","Do 5000","Ne","Vědecký pracovník do třídy V5",NA,NA,"80%","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Nevím","Spíše ano","Spíše ne","Spíše ne","Spíše ano","Rozhodně ne","Tuto činnost nedělám","Tuto činnost nedělám","2. místo","Tuto činnost nedělám","1. místo","Tuto činnost nedělám","Nedokážu posoudit",NA,"Earth and Environmental Science",NA,NA,NA,NA,NA,NA,"Ecology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AV"
